ano,id_municipio,distritos_sp,bairros_sp,total_empregos
2021,3550308,6,1042,2
2021,3550308,59,408,3
2021,3550308,18,877,10
2021,3550308,,1820,14
2021,3550308,41,966,0
2021,3550308,22,1458,0
2021,3550308,,1747,0
2021,3550308,96,1060,0
2021,3550308,21,1459,0
2021,3550308,41,1230,2
2021,3550308,90,1070,0
2021,3550308,,868,0
2021,3550308,,705,0
2021,3550308,13,176,1
2021,3550308,28,1669,2
2021,3550308,30,444,0
2021,3550308,,672,0
2021,3550308,,1359,0
2021,3550308,,1146,0
2021,3550308,,1713,0
2021,3550308,,1332,1
2021,3550308,,239,1
2021,3550308,14,1644,9
2021,3550308,72,,69604
2021,3550308,43,,9269
2021,3550308,91,1567,1629
2021,3550308,55,1096,21
2021,3550308,82,1318,4475
2021,3550308,58,446,140
2021,3550308,79,1830,3862
2021,3550308,30,1471,183
2021,3550308,56,93,6891
2021,3550308,4,1697,3289
2021,3550308,53,1059,2592
2021,3550308,25,1071,37152
2021,3550308,43,292,16110
2021,3550308,15,638,163
2021,3550308,90,295,3039
2021,3550308,95,1241,1943
2021,3550308,84,1647,1762
2021,3550308,90,34,36
2021,3550308,39,1311,343
2021,3550308,72,1210,7128
2021,3550308,64,793,183
2021,3550308,68,1664,783
2021,3550308,56,34,2957
2021,3550308,59,1825,1034
2021,3550308,82,1057,1788
2021,3550308,79,1462,5087
2021,3550308,75,78,4423
2021,3550308,46,1042,11000
2021,3550308,52,1059,32161
2021,3550308,34,759,1615
2021,3550308,13,90,22460
2021,3550308,37,1467,2957
2021,3550308,32,1482,3780
2021,3550308,36,1458,194
2021,3550308,68,1423,400
2021,3550308,59,1514,1732
2021,3550308,20,88,7211
2021,3550308,31,232,539
2021,3550308,38,1105,9277
2021,3550308,72,1593,568
2021,3550308,22,951,557
2021,3550308,71,1326,7970
2021,3550308,32,1439,1791
2021,3550308,90,590,3717
2021,3550308,21,1632,1072
2021,3550308,20,86,1951
2021,3550308,20,437,3575
2021,3550308,15,1583,963
2021,3550308,42,1595,1764
2021,3550308,78,415,68
2021,3550308,37,251,1576
2021,3550308,37,1441,1826
2021,3550308,96,224,2016
2021,3550308,32,1169,836
2021,3550308,68,,3692
2021,3550308,51,1043,1742
2021,3550308,21,1791,1660
2021,3550308,64,1766,299
2021,3550308,36,763,5841
2021,3550308,28,1344,1577
2021,3550308,68,651,1019
2021,3550308,68,1143,968
2021,3550308,68,1271,2350
2021,3550308,64,38,1212
2021,3550308,69,1266,8556
2021,3550308,75,1372,5806
2021,3550308,65,1152,1610
2021,3550308,1,1240,5699
2021,3550308,20,858,48
2021,3550308,63,1042,9803
2021,3550308,40,976,202
2021,3550308,37,1679,284
2021,3550308,95,1759,4627
2021,3550308,75,723,707
2021,3550308,59,265,834
2021,3550308,81,1318,2187
2021,3550308,15,777,126
2021,3550308,21,88,5744
2021,3550308,89,1609,31349
2021,3550308,3,348,294
2021,3550308,73,1295,191
2021,3550308,60,1748,15406
2021,3550308,5,1100,1042
2021,3550308,33,,17219
2021,3550308,2,11,445
2021,3550308,82,1535,12088
2021,3550308,12,39,36980
2021,3550308,43,47,42737
2021,3550308,77,830,2755
2021,3550308,25,238,5938
2021,3550308,51,1069,4810
2021,3550308,14,203,14375
2021,3550308,29,548,168
2021,3550308,21,645,180
2021,3550308,40,,731
2021,3550308,32,246,18038
2021,3550308,29,1214,58
2021,3550308,37,,5304
2021,3550308,15,1537,1577
2021,3550308,26,37,2937
2021,3550308,28,1416,160
2021,3550308,11,1009,533
2021,3550308,12,256,2094
2021,3550308,20,1395,2101
2021,3550308,73,1150,48
2021,3550308,70,921,5408
